AD:06,Sant Julià de Loria
AU:VIC:tarneit,Victoria:Tarneit
AU:VIC:templestowe lower,Victoria:Templestowe Lower
AU:VIC:thornbury,Victoria:Thornbury
AU:VIC:wantirna south,Victoria:Wantirna South
AU:VIC:warrnambool,Victoria:Warrnambool
AU:VIC:watsonia,Victoria:Watsonia
AU:VIC:windsor,Victoria:Windsor
AU:WA,Western Australia
AU:WA:attadale,Western Australia:Attadale
AU:WA:bayswater,Western Australia:Bayswater
AU:WA:duncraig,Western Australia:Duncraig
AU:WA:maylands,Western Australia:Maylands
AU:WA:nedlands,Western Australia:Nedlands
AU:WA:perth,Western Australia:Perth
AU:WA:port kennedy,Western Australia:Port Kennedy
AU:WA:scarborough,Western Australia:Scarborough
AU:WA:thornlie,Western Australia:Thornlie
AU:WA:wembley,Western Australia:Wembley
AZ:BA,Baku City
AZ:BA:baku,Baku City:Baku
BA:04,Zenica-Doboj Canton
BA:04:kakanj,Zenica-Doboj Canton:Kakanj
BA:09,Sarajevo Canton
BA:09:sarajevo,Sarajevo Canton:Sarajevo
BA:BIH,Federation of B&H
BA:BIH:bihać,Federation of B&H:Bihać
BA:BIH:bugojno,Federation of B&H:Bugojno
BA:BIH:lukavac,Federation of B&H:Lukavac
BA:BIH:tuzla,Federation of B&H:Tuzla
BA:BIH:vogosca,Federation of B&H:Vogosca
BA:BIH:zenica,Federation of B&H:Zenica
BA:BIH:zepce,Federation of B&H:Zepce
BA:BIH:zivinice,Federation of B&H:Zivinice
BA:SRP,Republika Srpska
BA:SRP:dubica,Republika Srpska:Dubica
BA:SRP:foca,Republika Srpska:Foca
BA:SRP:gradiska,Republika Srpska:Gradiska
BA:SRP:prijedor,Republika Srpska:Prijedor
BA:SRP:višegrad,Republika Srpska:Višegrad
BB:01,Christ Church
BB:08,Saint Michael
BB:08:bridgetown,Saint Michael:Bridgetown
BD:03,Bogra
BD:03:bogra,Bogra:Bogra
BD:10,Chittagong
BD:10:chittagong,Chittagong:Chittagong
BD:13,Dhaka
BD:13:dhaka,Dhaka:Dhaka
BD:27,Khulna
BD:27:khulna,Khulna:Khulna
BD:53,Rajbari
BD:53:kushtia,Rajbari:Kushtia
BD:55,Rangpur
BD:55:rangpur city,Rangpur:Rangpur City
BE:BRU,Brussels Capital
BE:BRU:brussels,Brussels Capital:Brussels
BE:BRU:ixelles-elsene,Brussels Capital:Ixelles-Elsene
BE:BRU:jette,Brussels Capital:Jette
BE:BRU:molenbeek-saint-jean,Brussels Capital:Molenbeek-Saint-Jean
BE:BRU:schaarbeek,Brussels Capital:Schaarbeek
BE:VAN,Antwerp Province
BE:VAN:antwerp,Antwerp Province:Antwerp
BE:VAN:balen,Antwerp Province:Balen
BE:VAN:beerse,Antwerp Province:Beerse
BE:VAN:brasschaat,Antwerp Province:Brasschaat
BE:VAN:oud-turnhout,Antwerp Province:Oud-Turnhout
BE:VAN:ranst,Antwerp Province:Ranst
BE:VAN:schilde,Antwerp Province:Schilde
BE:VAN:zwijndrecht,Antwerp Province:Zwijndrecht
BE:VBR,Flemish Brabant Province
BE:VBR:aarschot,Flemish Brabant Province:Aarschot
BE:VBR:asse,Flemish Brabant Province:Asse
BE:VBR:blanden,Flemish Brabant Province:Blanden
BE:VBR:kortenaken,Flemish Brabant Province:Kortenaken
BE:VBR:landen,Flemish Brabant Province:Landen
BE:VBR:leuven,Flemish Brabant Province:Leuven
BE:VBR:vilvoorde,Flemish Brabant Province:Vilvoorde
BE:VBR:wemmel,Flemish Brabant Province:Wemmel
BE:VLI,Limburg Province
BE:VLI:genk,Limburg Province:Genk
BE:VLI:hasselt,Limburg Province:Hasselt
BE:VLI:lommel,Limburg Province:Lommel
BE:VOV,East Flanders Province
BE:VOV:gentbrugge,East Flanders Province:Gentbrugge
BE:VOV:ghent,East Flanders Province:Ghent
BE:VOV:merelbeke,East Flanders Province:Merelbeke
BE:VOV:ouwegem,East Flanders Province:Ouwegem
BE:VOV:wetteren,East Flanders Province:Wetteren
BE:VOV:zottegem,East Flanders Province:Zottegem
BE:VWV,West Flanders Province
BE:VWV:bredene,West Flanders Province:Bredene
BE:VWV:bruges,West Flanders Province:Bruges
BE:VWV:damme,West Flanders Province:Damme
BE:VWV:gistel,West Flanders Province:Gistel
BE:VWV:kortrijk,West Flanders Province:Kortrijk
BE:VWV:kuurne,West Flanders Province:Kuurne
BE:VWV:wevelgem,West Flanders Province:Wevelgem
BE:VWV:ypres,West Flanders Province:Ypres
BE:WBR,Walloon Brabant Province
BE:WBR:beauvechain,Walloon Brabant Province:Beauvechain
BE:WBR:jodoigne,Walloon Brabant Province:Jodoigne
BE:WBR:louvain-la-neuve,Walloon Brabant Province:Louvain-la-Neuve
BE:WBR:wavre,Walloon Brabant Province:Wavre
BE:WHT,Hainaut Province
BE:WHT:charleroi,Hainaut Province:Charleroi
BE:WHT:couillet,Hainaut Province:Couillet
BE:WHT:courcelles,Hainaut Province:Courcelles
BE:WHT:ecaussinnes-d'enghien,Hainaut Province:Ecaussinnes-d'Enghien
BE:WHT:fontaine-l'eveque,Hainaut Province:Fontaine-l'Eveque
BE:WHT:houtain-l'eveque,Hainaut Province:Houtain-l'Eveque
BE:WHT:jumet,Hainaut Province:Jumet
BE:WHT:lambusart,Hainaut Province:Lambusart
BE:WHT:lodelinsart,Hainaut Province:Lodelinsart
BE:WHT:manage,Hainaut Province:Manage
BE:WHT:marcinelle,Hainaut Province:Marcinelle
BE:WHT:mouscron,Hainaut Province:Mouscron
BE:WHT:presles,Hainaut Province:Presles
BE:WHT:souvret,Hainaut Province:Souvret
BE:WHT:thuin,Hainaut Province:Thuin
BE:WHT:tournai,Hainaut Province:Tournai
BE:WLG,Liège Province
BE:WLG:dalhem,Liège Province:Dalhem
BE:WLG:dison,Liège Province:Dison
BE:WLG:fleron,Liège Province:Fleron
BE:WLG:liège,Liège Province:Liège
BE:WLG:saint-nicolas,Liège Province:Saint-Nicolas
BE:WLG:seraing,Liège Province:Seraing
BE:WLG:verviers,Liège Province:Verviers
BE:WLG:vise,Liège Province:Vise
BE:WLG:waremme,Liège Province:Waremme
BE:WLX,Luxembourg Province
BE:WLX:arlon,Luxembourg Province:Arlon
BE:WLX:bertrix,Luxembourg Province:Bertrix
BE:WNA,Namur Province
BE:WNA:andenne,Namur Province:Andenne
BE:WNA:beez,Namur Province:Beez
BE:WNA:jambes,Namur Province:Jambes
BE:WNA:namur,Namur Province:Namur
BE:WNA:saint-marc,Namur Province:Saint-Marc
BF:KAD,Kadiogo Province
BF:KAD:ouagadougou,Kadiogo Province:Ouagadougou
BG:01,Blagoevgrad
BG:01:petrich,Blagoevgrad:Petrich
BG:01:sandanski,Blagoevgrad:Sandanski
BG:02,Burgas
BG:02:aytos,Burgas:Aytos
BG:02:burgas,Burgas:Burgas
BG:03,Varna
BG:03:varna,Varna:Varna
BG:04,Oblast Veliko Tarnovo
BG:04:veliko tarnovo,Oblast Veliko Tarnovo:Veliko Tarnovo
BG:05,Oblast Vidin
BG:05:vidin,Oblast Vidin:Vidin
BG:06,Oblast Vratsa
BG:06:vratsa,Oblast Vratsa:Vratsa
BG:07,Gabrovo
BG:07:gabrovo,Gabrovo:Gabrovo
BG:08,Oblast Dobrich
BG:08:dobrich,Oblast Dobrich:Dobrich
BG:08:kavarna,Oblast Dobrich:Kavarna
BG:09,Oblast Kardzhali
BG:09:kardzhali,Oblast Kardzhali:Kardzhali
BG:10,Oblast Kyustendil
BG:10:dupnitsa,Oblast Kyustendil:Dupnitsa
BG:10:kyustendil,Oblast Kyustendil:Kyustendil
BG:11,Lovech
BG:11:ablanitsa,Lovech:Ablanitsa
BG:11:lovech,Lovech:Lovech
BG:12,Oblast Montana
BG:12:montana,Oblast Montana:Montana
BG:13,Pazardzhik
BG:13:pazardzhik,Pazardzhik:Pazardzhik
BG:13:peshtera,Pazardzhik:Peshtera
BG:14,Pernik
BG:14:pernik,Pernik:Pernik
BG:15,Oblast Pleven
BG:15:belene,Oblast Pleven:Belene
BG:15:pleven,Oblast Pleven:Pleven
BG:16,Plovdiv
BG:16:asenovgrad,Plovdiv:Asenovgrad
BG:16:plovdiv,Plovdiv:Plovdiv
BG:18,Oblast Ruse
BG:18:byala,Oblast Ruse:Byala
BG:18:rousse,Oblast Ruse:Rousse
BG:19,Oblast Silistra
BG:19:silistra,Oblast Silistra:Silistra
BG:19:slatina,Oblast Silistra:Slatina
BG:20,Oblast Sliven
BG:20:sliven,Oblast Sliven:Sliven
BG:21,Oblast Smolyan
BG:21:smolyan,Oblast Smolyan:Smolyan
BG:22,Sofia-Capital
BG:22:novi iskar,Sofia-Capital:Novi Iskar
BG:22:sofia,Sofia-Capital:Sofia
BG:23,Sofia
BG:23:botevgrad,Sofia:Botevgrad
BG:23:etropole,Sofia:Etropole
BG:24,Oblast Stara Zagora
BG:24:chirpan,Oblast Stara Zagora:Chirpan
BG:24:musachevo,Oblast Stara Zagora:Musachevo
BG:24:stara zagora,Oblast Stara Zagora:Stara Zagora
BG:25,Oblast Targovishte
BG:25:targovishte,Oblast Targovishte:Targovishte
BG:26,Haskovo
BG:26:dimitrovgrad,Haskovo:Dimitrovgrad
BG:26:haskovo,Haskovo:Haskovo
BG:26:simeonovgrad,Haskovo:Simeonovgrad
BG:26:svilengrad,Haskovo:Svilengrad
BG:27,Oblast Shumen
BG:27:kaolinovo,Oblast Shumen:Kaolinovo
BG:27:shumen,Oblast Shumen:Shumen
BG:28,Oblast Yambol
BG:28:elhovo,Oblast Yambol:Elhovo
BG:28:yambol,Oblast Yambol:Yambol
BH:13,Manama
BH:13:manama,Manama:Manama
BJ:LI,Littoral
BJ:LI:cotonou,Littoral:Cotonou
BM:GC,Saint George
BM:GC:saint george,Saint George:Saint George
BM:HA,Hamilton
BM:HA:sunnyside,Hamilton:Sunnyside
BM:HC,Hamilton city
BM:HC:hamilton,Hamilton city:Hamilton
BN:BM,Brunei and Muara District
BN:BM:bandar seri begawan,Brunei and Muara District:Bandar Seri Begawan
BO:B,El Beni
BO:B:santa cruz,El Beni:Santa Cruz
BO:C,Departamento de Cochabamba
BO:C:cochabamba,Departamento de Cochabamba:Cochabamba
BO:H,Departamento de Chuquisaca
BO:H:sucre,Departamento de Chuquisaca:Sucre
BO:L,Departamento de La Paz
BO:L:la paz,Departamento de La Paz:La Paz
BO:P,Departamento de Potosi
BO:P:potosí,Departamento de Potosi:Potosí
BO:S,Departamento de Santa Cruz
BO:S:santa cruz,Departamento de Santa Cruz:Santa Cruz
BO:T,Departamento de Tarija
BO:T:tarija,Departamento de Tarija:Tarija
BR:AC,Acre
BR:AC:rio branco,Acre:Rio Branco
BR:AL,Alagoas
BR:AL:arapiraca,Alagoas:Arapiraca
BR:AL:boca da mata,Alagoas:Boca da Mata
BR:AL:craibas,Alagoas:Craibas
BR:AL:maceió,Alagoas:Maceió
BR:AL:santana do ipanema,Alagoas:Santana do Ipanema
BR:AL:sao paulo,Alagoas:Sao Paulo
BR:AL:sao sebastiao,Alagoas:Sao Sebastiao
BR:AL:uniao dos palmares,Alagoas:Uniao dos Palmares
BR:AM,Amazonas
BR:AM:boa vista,Amazonas:Boa Vista
BR:AM:caapiranga,Amazonas:Caapiranga
BR:AM:manaus,Amazonas:Manaus
BR:AP,Amapa
BR:AP:macapá,Amapa:Macapá
BR:BA,Bahia
BR:BA:alagoinhas,Bahia:Alagoinhas
BR:BA:antas,Bahia:Antas
BR:BA:boquira,Bahia:Boquira
BR:BA:caetite,Bahia:Caetite
BR:BA:catu,Bahia:Catu
BR:BA:dom basilio,Bahia:Dom Basilio
BR:BA:feira de santana,Bahia:Feira de Santana
BR:BA:guanambi,Bahia:Guanambi
BR:BA:irece,Bahia:Irece
BR:BA:itaberaba,Bahia:Itaberaba
BR:BA:itabuna,Bahia:Itabuna
BR:BA:luis eduardo magalhaes,Bahia:Luis Eduardo Magalhaes
BR:BA:macaubas,Bahia:Macaubas
BR:BA:medeiros neto,Bahia:Medeiros Neto
BR:BA:nazare,Bahia:Nazare
BR:BA:pojuca,Bahia:Pojuca
BR:BA:retirolandia,Bahia:Retirolandia
BR:BA:riacho de santana,Bahia:Riacho de Santana
BR:BA:salvador,Bahia:Salvador
BR:BA:santo amaro,Bahia:Santo Amaro
BR:BA:santo antonio de jesus,Bahia:Santo Antonio de Jesus
BR:BA:sao francisco do conde,Bahia:Sao Francisco do Conde
BR:BA:seabra,Bahia:Seabra
BR:BA:senhor do bonfim,Bahia:Senhor do Bonfim
BR:BA:teixeira de freitas,Bahia:Teixeira de Freitas
BR:BA:teofilandia,Bahia:Teofilandia
BR:BA:vitória da conquista,Bahia:Vitória da Conquista
BR:CE,Ceara
BR:CE:acarau,Ceara:Acarau
BR:CE:barbalha,Ceara:Barbalha
BR:CE:caucaia,Ceara:Caucaia
BR:CE:crateus,Ceara:Crateus
BR:CE:crato,Ceara:Crato
BR:CE:fortaleza,Ceara:Fortaleza
BR:CE:horizonte,Ceara:Horizonte
BR:CE:jericoacoara,Ceara:Jericoacoara
BR:CE:limoeiro do norte,Ceara:Limoeiro do Norte
BR:CE:maracanau,Ceara:Maracanau
BR:CE:maranguape,Ceara:Maranguape
BR:CE:massape,Ceara:Massape
BR:CE:santa quiteria,Ceara:Santa Quiteria
BR:CE:sao benedito,Ceara:Sao Benedito
BR:CE:taua,Ceara:Taua
BR:CE:tiangua,Ceara:Tiangua
BR:DF,Federal District
BR:DF:brasilandia,Federal District:Brasilandia
BR:DF:brasília,Federal District:Brasília
BR:ES,Espirito Santo
BR:ES:afonso claudio,Espirito Santo:Afonso Claudio
BR:ES:baixo guandu,Espirito Santo:Baixo Guandu
BR:ES:cachoeiro de itapemirim,Espirito Santo:Cachoeiro de Itapemirim
BR:ES:cariacica,Espirito Santo:Cariacica
BR:ES:colatina,Espirito Santo:Colatina
BR:ES:domingos martins,Espirito Santo:Domingos Martins
BR:ES:ecoporanga,Espirito Santo:Ecoporanga
BR:ES:iuna,Espirito Santo:Iuna
BR:ES:linhares,Espirito Santo:Linhares
BR:ES:mimoso do sul,Espirito Santo:Mimoso do Sul
BR:ES:rio novo do sul,Espirito Santo:Rio Novo do Sul
BR:ES:serra,Espirito Santo:Serra
BR:ES:são mateus,Espirito Santo:São Mateus
BR:ES:vargem alta,Espirito Santo:Vargem Alta
BR:ES:vila velha,Espirito Santo:Vila Velha
BR:ES:vitória,Espirito Santo:Vitória
BR:GO,Goias
BR:GO:anápolis,Goias:Anápolis
BR:GO:catalao,Goias:Catalao
BR:GO:chapadao do ceu,Goias:Chapadao do Ceu
BR:GO:cristalina,Goias:Cristalina
BR:GO:crixas,Goias:Crixas
BR:GO:edealina,Goias:Edealina
BR:GO:formosa,Goias:Formosa
BR:GO:goiânia,Goias:Goiânia
BR:GO:inhumas,Goias:Inhumas
BR:GO:itaberai,Goias:Itaberai
BR:GO:jaragua,Goias:Jaragua
BR:GO:luziania,Goias:Luziania
BR:GO:minacu,Goias:Minacu
BR:GO:mineiros,Goias:Mineiros
BR:GO:montividiu,Goias:Montividiu
BR:GO:morrinhos,Goias:Morrinhos
BR:GO:palmeiras de goias,Goias:Palmeiras de Goias
BR:GO:rio verde,Goias:Rio Verde
BR:GO:sao luis de montes belos,Goias:Sao Luis de Montes Belos
BR:GO:silvania,Goias:Silvania
BR:MA,Maranhao
BR:MA:bacabal,Maranhao:Bacabal
BR:MA:barra do corda,Maranhao:Barra do Corda
BR:MA:barreirinhas,Maranhao:Barreirinhas
BR:MA:carolina,Maranhao:Carolina
BR:MA:caxias,Maranhao:Caxias
BR:MA:dom pedro,Maranhao:Dom Pedro
BR:MA:grajau,Maranhao:Grajau
BR:MA:imperatriz,Maranhao:Imperatriz
BR:MA:sao mateus do maranhao,Maranhao:Sao Mateus do Maranhao
BR:MA:são luís,Maranhao:São Luís
BR:MG,Minas Gerais
BR:MG:abaete,Minas Gerais:Abaete
BR:MG:aimores,Minas Gerais:Aimores
BR:MG:alpinopolis,Minas Gerais:Alpinopolis
BR:MG:alterosa,Minas Gerais:Alterosa
BR:MG:andradas,Minas Gerais:Andradas
BR:MG:araguari,Minas Gerais:Araguari
BR:MG:araxá,Minas Gerais:Araxá
BR:MG:belo horizonte,Minas Gerais:Belo Horizonte
BR:MG:betim,Minas Gerais:Betim
BR:MG:bom despacho,Minas Gerais:Bom Despacho
BR:MG:bom jesus da penha,Minas Gerais:Bom Jesus da Penha
BR:MG:brasopolis,Minas Gerais:Brasopolis
BR:MG:cachoeira dourada,Minas Gerais:Cachoeira Dourada
BR:MG:caete,Minas Gerais:Caete
BR:MG:caldas,Minas Gerais:Caldas
BR:MG:campestre,Minas Gerais:Campestre
BR:MG:campos gerais,Minas Gerais:Campos Gerais
BR:MG:cana verde,Minas Gerais:Cana Verde
BR:MG:capelinha,Minas Gerais:Capelinha
BR:MG:capitolio,Minas Gerais:Capitolio
BR:MG:carangola,Minas Gerais:Carangola
BR:MG:cataguases,Minas Gerais:Cataguases
BR:MG:centro,Minas Gerais:Centro
BR:MG:claraval,Minas Gerais:Claraval
BR:MG:claudio,Minas Gerais:Claudio
BR:MG:congonhas,Minas Gerais:Congonhas
BR:MG:conselheiro lafaiete,Minas Gerais:Conselheiro Lafaiete
BR:MG:conselheiro pena,Minas Gerais:Conselheiro Pena
BR:MG:contagem,Minas Gerais:Contagem
BR:MG:coronel murta,Minas Gerais:Coronel Murta
BR:MG:curvelo,Minas Gerais:Curvelo
BR:MG:diamantina,Minas Gerais:Diamantina
BR:MG:divinópolis,Minas Gerais:Divinópolis
BR:MG:esmeraldas,Minas Gerais:Esmeraldas
BR:MG:espera feliz,Minas Gerais:Espera Feliz
BR:MG:espinosa,Minas Gerais:Espinosa
BR:MG:extrema,Minas Gerais:Extrema
BR:MG:fronteira,Minas Gerais:Fronteira
BR:MG:governador valadares,Minas Gerais:Governador Valadares
BR:MG:guanhaes,Minas Gerais:Guanhaes
BR:MG:guaraciaba,Minas Gerais:Guaraciaba
BR:MG:guaxupe,Minas Gerais:Guaxupe
BR:MG:ibirite,Minas Gerais:Ibirite
BR:MG:itabira,Minas Gerais:Itabira
BR:MG:itabirito,Minas Gerais:Itabirito
BR:MG:itajuba,Minas Gerais:Itajuba
BR:MG:itapecerica,Minas Gerais:Itapecerica
BR:MG:itau de minas,Minas Gerais:Itau de Minas
BR:MG:itauna,Minas Gerais:Itauna
BR:MG:ituiutaba,Minas Gerais:Ituiutaba
BR:MG:joao monlevade,Minas Gerais:Joao Monlevade
BR:MG:joao pinheiro,Minas Gerais:Joao Pinheiro
BR:MG:juatuba,Minas Gerais:Juatuba
BR:MG:juiz de fora,Minas Gerais:Juiz de Fora
BR:MG:lagoa formosa,Minas Gerais:Lagoa Formosa
BR:MG:lagoa grande,Minas Gerais:Lagoa Grande
BR:MG:lagoa da prata,Minas Gerais:Lagoa da Prata
BR:MG:lajinha,Minas Gerais:Lajinha
BR:MG:lavras,Minas Gerais:Lavras
BR:MG:leopoldina,Minas Gerais:Leopoldina
BR:MG:luz,Minas Gerais:Luz
BR:MG:machado,Minas Gerais:Machado
BR:MG:manga,Minas Gerais:Manga
BR:MG:manhuacu,Minas Gerais:Manhuacu
BR:MG:mariana,Minas Gerais:Mariana
BR:MG:matozinhos,Minas Gerais:Matozinhos
BR:MG:monte santo de minas,Minas Gerais:Monte Santo de Minas
BR:MG:monte siao,Minas Gerais:Monte Siao
BR:MG:montes claros,Minas Gerais:Montes Claros
BR:MG:morada nova de minas,Minas Gerais:Morada Nova de Minas
BR:MG:nanuque,Minas Gerais:Nanuque
BR:MG:nova lima,Minas Gerais:Nova Lima
BR:MG:nova serrana,Minas Gerais:Nova Serrana
BR:MG:oliveira,Minas Gerais:Oliveira
BR:MG:ouro preto,Minas Gerais:Ouro Preto
BR:MG:paineiras,Minas Gerais:Paineiras
BR:MG:para de minas,Minas Gerais:Para de Minas
BR:MG:paracatu,Minas Gerais:Paracatu
BR:MG:paraguacu,Minas Gerais:Paraguacu
BR:MG:patos de minas,Minas Gerais:Patos de Minas
BR:MG:paula candido,Minas Gerais:Paula Candido
BR:MG:pedro leopoldo,Minas Gerais:Pedro Leopoldo
BR:MG:piranguinho,Minas Gerais:Piranguinho
BR:MG:pirapora,Minas Gerais:Pirapora
BR:MG:poco fundo,Minas Gerais:Poco Fundo
BR:MG:ponte nova,Minas Gerais:Ponte Nova
BR:MG:porto firme,Minas Gerais:Porto Firme
BR:MG:pouso alegre,Minas Gerais:Pouso Alegre
BR:MG:poços de caldas,Minas Gerais:Poços de Caldas
BR:MG:prados,Minas Gerais:Prados
BR:MG:pratapolis,Minas Gerais:Pratapolis
BR:MG:ribeirão das neves,Minas Gerais:Ribeirão das Neves
BR:MG:rio acima,Minas Gerais:Rio Acima
BR:MG:rio pardo de minas,Minas Gerais:Rio Pardo de Minas
BR:MG:sabara,Minas Gerais:Sabara
BR:MG:sacramento,Minas Gerais:Sacramento
BR:MG:santa maria do suacui,Minas Gerais:Santa Maria do Suacui
BR:MG:santo antonio do amparo,Minas Gerais:Santo Antonio do Amparo
BR:MG:sao joao batista do gloria,Minas Gerais:Sao Joao Batista do Gloria
BR:MG:sao jose do goiabal,Minas Gerais:Sao Jose do Goiabal
BR:MG:sao sebastiao do paraiso,Minas Gerais:Sao Sebastiao do Paraiso
BR:MG:senador amaral,Minas Gerais:Senador Amaral
BR:MG:senador firmino,Minas Gerais:Senador Firmino
BR:MG:sete lagoas,Minas Gerais:Sete Lagoas
BR:MG:taiobeiras,Minas Gerais:Taiobeiras
BR:MG:tocantins,Minas Gerais:Tocantins
BR:MG:tres pontas,Minas Gerais:Tres Pontas
BR:MG:três corações,Minas Gerais:Três Corações
BR:MG:uberaba,Minas Gerais:Uberaba
BR:MG:uberlândia,Minas Gerais:Uberlândia
BR:MG:unai,Minas Gerais:Unai
BR:MG:varginha,Minas Gerais:Varginha
BR:MG:vicosa,Minas Gerais:Vicosa
BR:MG:visconde do rio branco,Minas Gerais:Visconde do Rio Branco
BR:MG:volta grande,Minas Gerais:Volta Grande
BR:MS,Mato Grosso do Sul
BR:MS:bela vista,Mato Grosso do Sul:Bela Vista
BR:MS:bonito,Mato Grosso do Sul:Bonito
BR:MS:campo grande,Mato Grosso do Sul:Campo Grande
BR:MS:costa rica,Mato Grosso do Sul:Costa Rica
BR:MS:coxim,Mato Grosso do Sul:Coxim
BR:MS:dourados,Mato Grosso do Sul:Dourados
BR:MS:maracaju,Mato Grosso do Sul:Maracaju
BR:MS:sidrolandia,Mato Grosso do Sul:Sidrolandia
BR:MT,Mato Grosso
BR:MT:cuiabá,Mato Grosso:Cuiabá
BR:MT:jaciara,Mato Grosso:Jaciara
BR:MT:lucas do rio verde,Mato Grosso:Lucas do Rio Verde
BR:MT:pontes e lacerda,Mato Grosso:Pontes e Lacerda
BR:MT:rondonópolis,Mato Grosso:Rondonópolis
BR:MT:sapezal,Mato Grosso:Sapezal
BR:MT:sinop,Mato Grosso:Sinop
BR:MT:sorriso,Mato Grosso:Sorriso
BR:PA,Para
BR:PA:altamira,Para:Altamira
BR:PA:ananindeua,Para:Ananindeua
BR:PA:belém,Para:Belém
BR:PA:castanhal,Para:Castanhal
BR:PA:itaituba,Para:Itaituba
BR:PA:marabá,Para:Marabá
BR:PA:redencao,Para:Redencao
BR:PA:santarém,Para:Santarém
BR:PA:sao geraldo do araguaia,Para:Sao Geraldo do Araguaia
BR:PB,Paraíba
BR:PB:bayeux,Paraíba:Bayeux
BR:PB:caapora,Paraíba:Caapora
BR:PB:campina grande,Paraíba:Campina Grande
BR:PB:cuite,Paraíba:Cuite
BR:PB:esperanca,Paraíba:Esperanca
BR:PB:guarabira,Paraíba:Guarabira
BR:PB:itaporanga,Paraíba:Itaporanga
BR:PB:joão pessoa,Paraíba:João Pessoa
BR:PB:lagoa seca,Paraíba:Lagoa Seca
BR:PB:pombal,Paraíba:Pombal
BR:PB:santo andre,Paraíba:Santo Andre
BR:PB:sume,Paraíba:Sume
BR:PE,Pernambuco
BR:PE:araripina,Pernambuco:Araripina
BR:PE:barreiros,Pernambuco:Barreiros
BR:PE:belo jardim,Pernambuco:Belo Jardim
BR:PE:camaragibe,Pernambuco:Camaragibe
BR:PE:caruaru,Pernambuco:Caruaru
BR:PE:colonia leopoldina,Pernambuco:Colonia Leopoldina
BR:PE:escada,Pernambuco:Escada
BR:PE:garanhuns,Pernambuco:Garanhuns
BR:PE:goiana,Pernambuco:Goiana
BR:PE:gravatá,Pernambuco:Gravatá
BR:PE:ipubi,Pernambuco:Ipubi
BR:PE:jaboatao dos guararapes,Pernambuco:Jaboatao dos Guararapes
BR:PE:limoeiro,Pernambuco:Limoeiro
BR:PE:maraial,Pernambuco:Maraial
BR:PE:olinda,Pernambuco:Olinda
BR:PE:recife,Pernambuco:Recife
BR:PE:santa maria da boa vista,Pernambuco:Santa Maria da Boa Vista
BR:PE:santo agostinho,Pernambuco:Santo Agostinho
BR:PE:sao domingos,Pernambuco:Sao Domingos
BR:PE:surubim,Pernambuco:Surubim
BR:PE:tamandare,Pernambuco:Tamandare
BR:PE:vitoria de santo antao,Pernambuco:Vitoria de Santo Antao
BR:PI,Piaui
BR:PI:batalha,Piaui:Batalha
BR:PI:jaicos,Piaui:Jaicos
BR:PI:teresina,Piaui:Teresina
BR:PR,Parana
BR:PR:ampere,Parana:Ampere
BR:PR:barbosa ferraz,Parana:Barbosa Ferraz
BR:PR:cambe,Parana:Cambe
BR:PR:campo largo,Parana:Campo Largo
BR:PR:campo mourao,Parana:Campo Mourao
BR:PR:cascavel,Parana:Cascavel
BR:PR:castro,Parana:Castro
BR:PR:cerro azul,Parana:Cerro Azul
BR:PR:ceu azul,Parana:Ceu Azul
BR:PR:colombo,Parana:Colombo
BR:PR:colorado,Parana:Colorado
BR:PR:cornelio procopio,Parana:Cornelio Procopio
BR:PR:cruzeiro do oeste,Parana:Cruzeiro do Oeste
BR:PR:curitiba,Parana:Curitiba
BR:PR:curiuva,Parana:Curiuva
BR:PR:douradina,Parana:Douradina
BR:PR:engenheiro beltrao,Parana:Engenheiro Beltrao
BR:PR:foz do iguaçu,Parana:Foz do Iguaçu
BR:PR:francisco beltrão,Parana:Francisco Beltrão
BR:PR:guarapuava,Parana:Guarapuava
BR:PR:icaraima,Parana:Icaraima
BR:PR:itapejara,Parana:Itapejara
BR:PR:janiopolis,Parana:Janiopolis
BR:PR:loanda,Parana:Loanda
BR:PR:londrina,Parana:Londrina
BR:PR:lupionopolis,Parana:Lupionopolis
BR:PR:mandaguari,Parana:Mandaguari
BR:PR:marechal candido rondon,Parana:Marechal Candido Rondon
BR:PR:marialva,Parana:Marialva
BR:PR:marilena,Parana:Marilena
BR:PR:maringá,Parana:Maringá
BR:PR:medianeira,Parana:Medianeira
BR:PR:moreira sales,Parana:Moreira Sales
BR:PR:paranavai,Parana:Paranavai
BR:PR:pato branco,Parana:Pato Branco
BR:PR:pinhais,Parana:Pinhais
BR:PR:pirai do sul,Parana:Pirai do Sul
BR:PR:ponta grossa,Parana:Ponta Grossa
BR:PR:pontal do parana,Parana:Pontal do Parana
BR:PR:santa fe,Parana:Santa Fe
BR:PR:santa helena,Parana:Santa Helena
BR:PR:santo antonio do sudoeste,Parana:Santo Antonio do Sudoeste
BR:PR:sao miguel do iguacu,Parana:Sao Miguel do Iguacu
BR:PR:sao pedro do iguacu,Parana:Sao Pedro do Iguacu
BR:PR:sarandi,Parana:Sarandi
BR:PR:senges,Parana:Senges
BR:PR:terra boa,Parana:Terra Boa
BR:PR:terra rica,Parana:Terra Rica
BR:PR:toledo,Parana:Toledo
BR:PR:umuarama,Parana:Umuarama
BR:PR:vere,Parana:Vere
BR:RJ,Rio de Janeiro
BR:RJ:araruama,Rio de Janeiro:Araruama
